2015-07-17 16:23:46,411 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  6] Services from file:/home/gildas/Outils/Elpi/applications/accounting/servicedef/services_authorizedotnet.xml
2015-07-17 16:23:46,413 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 25] Services from file:/home/gildas/Outils/Elpi/applications/accounting/servicedef/services_tax.xml
2015-07-17 16:23:46,422 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  4] Services from file:/home/gildas/Outils/Elpi/applications/accounting/servicedef/services_pccharge.xml
2015-07-17 16:23:46,422 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  8] Services from file:/home/gildas/Outils/Elpi/applications/accounting/servicedef/services_paypal.xml
2015-07-17 16:23:46,423 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  6] Services from file:/home/gildas/Outils/Elpi/applications/accounting/servicedef/services_clearcommerce.xml
2015-07-17 16:23:46,427 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  5] Services from file:/home/gildas/Outils/Elpi/applications/accounting/servicedef/services_cybersource.xml
2015-07-17 16:23:46,434 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 10] Services from file:/home/gildas/Outils/Elpi/applications/accounting/servicedef/services_rita.xml
2015-07-17 16:23:46,437 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 11] Services from file:/home/gildas/Outils/Elpi/applications/accounting/servicedef/services_verisign.xml
2015-07-17 16:23:46,440 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  5] Services from file:/home/gildas/Outils/Elpi/applications/accounting/servicedef/services_orbital.xml
2015-07-17 16:23:46,441 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 21] Services from file:/home/gildas/Outils/Elpi/applications/accounting/servicedef/services_valuelink.xml
2015-07-17 16:23:46,447 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  5] Services from file:/home/gildas/Outils/Elpi/applications/accounting/servicedef/services_securepay.xml
2015-07-17 16:23:46,449 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  4] Services from file:/home/gildas/Outils/Elpi/applications/accounting/servicedef/services_upgrade.xml
2015-07-17 16:23:46,457 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 12] Services from file:/home/gildas/Outils/Elpi/applications/accounting/servicedef/services_perm.xml
2015-07-17 16:23:46,475 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 14] Services from file:/home/gildas/Outils/Elpi/applications/order/servicedef/services_cart.xml
2015-07-17 16:23:46,492 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 16] Services from file:/home/gildas/Outils/Elpi/applications/order/servicedef/services_shoppinglist.xml
2015-07-17 16:23:46,493 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [109] Services from file:/home/gildas/Outils/Elpi/applications/humanres/servicedef/services.xml
2015-07-17 16:23:46,494 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 22] Services from file:/home/gildas/Outils/Elpi/applications/order/servicedef/services_request.xml
2015-07-17 16:23:46,507 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [123] Services from file:/home/gildas/Outils/Elpi/applications/order/servicedef/services.xml
2015-07-17 16:23:46,509 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 53] Services from file:/home/gildas/Outils/Elpi/applications/order/servicedef/services_return.xml
2015-07-17 16:23:46,516 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  3] Services from file:/home/gildas/Outils/Elpi/applications/order/servicedef/services_upgrade.xml
2015-07-17 16:23:46,517 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  3] Services from file:/home/gildas/Outils/Elpi/applications/order/servicedef/services_checkout.xml
2015-07-17 16:23:46,518 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 21] Services from file:/home/gildas/Outils/Elpi/applications/order/servicedef/services_requirement.xml
2015-07-17 16:23:46,520 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 32] Services from file:/home/gildas/Outils/Elpi/applications/order/servicedef/services_quote.xml
2015-07-17 16:23:46,526 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 11] Services from file:/home/gildas/Outils/Elpi/applications/marketing/servicedef/services_opportunity.xml
2015-07-17 16:23:46,532 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  6] Services from file:/home/gildas/Outils/Elpi/applications/commonext/servicedef/services.xml
2015-07-17 16:23:46,533 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  5] Services from file:/home/gildas/Outils/Elpi/applications/order/servicedef/services_olap.xml
2015-07-17 16:23:46,535 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 64] Services from file:/home/gildas/Outils/Elpi/applications/marketing/servicedef/services.xml
2015-07-17 16:23:46,542 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  2] Services from file:/home/gildas/Outils/Elpi/hot-deploy/association/servicedef/services.xml
