2015-07-17 01:08:17,542 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: mycompany
2015-07-17 01:08:17,542 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: mycompany
2015-07-17 01:08:17,544 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: order
2015-07-17 01:08:17,544 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: order
2015-07-17 01:08:17,548 |FBiz-AdminPortThread |ContainerLoader               |I| Stopped container catalina-container
2015-07-17 01:08:17,548 |FBiz-AdminPortThread |ContainerLoader               |I| Stopping container rmi-dispatcher
2015-07-17 01:08:17,548 |FBiz-AdminPortThread |ServiceContainer              |I| Removing from cache dispatcher: RMIDispatcher
2015-07-17 01:08:17,548 |FBiz-AdminPortThread |ServiceDispatcher             |I| De-Registering dispatcher: RMIDispatcher
2015-07-17 01:08:17,548 |FBiz-AdminPortThread |ContainerLoader               |I| Stopped container rmi-dispatcher
2015-07-17 01:08:17,548 |FBiz-AdminPortThread |ContainerLoader               |I| Stopping container service-container
2015-07-17 01:08:17,548 |FBiz-AdminPortThread |JobPoller                     |I| Shutting down JobPoller.
2015-07-17 01:08:17,548 |FBiz-AdminPortThread |JobPoller                     |I| JobPoller shutdown completed.
2015-07-17 01:08:17,548 |FBiz-AdminPortThread |ServiceContainer              |I| Removing from cache dispatcher: default
2015-07-17 01:08:17,548 |FBiz-AdminPortThread |ServiceDispatcher             |I| De-Registering dispatcher: default
2015-07-17 01:08:17,549 |FBiz-AdminPortThread |ServiceContainer              |I| Removing from cache dispatcher: entity-default
2015-07-17 01:08:17,549 |FBiz-AdminPortThread |ServiceDispatcher             |I| De-Registering dispatcher: entity-default
2015-07-17 01:08:17,549 |FBiz-AdminPortThread |ServiceDispatcher             |I| Shutting down the service engine...
2015-07-17 01:08:17,549 |FBiz-AdminPortThread |ContainerLoader               |I| Stopped container service-container
2015-07-17 01:08:17,549 |FBiz-AdminPortThread |ContainerLoader               |I| Stopping container naming-container
2015-07-17 01:08:17,549 |FBiz-AdminPortThread |ContainerLoader               |I| Stopped container naming-container
2015-07-17 01:08:17,549 |FBiz-AdminPortThread |ContainerLoader               |I| Stopping container classloader-container
2015-07-17 01:08:17,549 |FBiz-AdminPortThread |ContainerLoader               |I| Stopped container classloader-container
2015-07-17 01:08:17,550 |FBiz-AdminPortThread |ContainerLoader               |I| Stopping container component-container
2015-07-17 01:08:17,550 |FBiz-AdminPortThread |ContainerLoader               |I| Stopped container component-container
2015-07-17 01:08:21,168 |main                 |ContainerLoader               |I| [Startup] Loading containers from /home/gildas/Outils/Elpi/framework/base/config/ofbiz-containers.xml for loaders {main, rmi}
2015-07-17 01:08:21,406 |main                 |ContainerLoader               |I| Loading container: component-container
2015-07-17 01:08:21,426 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/gildas/Outils/Elpi/framework]
2015-07-17 01:08:21,475 |main                 |ComponentContainer            |I| Loading component : [base]
2015-07-17 01:08:21,517 |main                 |ComponentContainer            |I| Loading component : [geronimo]
2015-07-17 01:08:21,549 |main                 |ComponentContainer            |I| Loading component : [sql]
2015-07-17 01:08:21,577 |main                 |ComponentContainer            |I| Loading component : [entity]
2015-07-17 01:08:21,604 |main                 |ComponentContainer            |I| Loading component : [security]
2015-07-17 01:08:21,649 |main                 |ComponentContainer            |I| Loading component : [datafile]
2015-07-17 01:08:21,676 |main                 |ComponentContainer            |I| Loading component : [minilang]
2015-07-17 01:08:21,722 |main                 |ComponentContainer            |I| Loading component : [common]
2015-07-17 01:08:21,751 |main                 |ComponentContainer            |I| Loading component : [service]
2015-07-17 01:08:21,822 |main                 |ComponentContainer            |I| Loading component : [catalina]
2015-07-17 01:08:21,845 |main                 |ComponentContainer            |I| Loading component : [entityext]
2015-07-17 01:08:21,864 |main                 |ComponentContainer            |I| Loading component : [bi]
2015-07-17 01:08:21,879 |main                 |ComponentContainer            |I| Loading component : [webapp]
2015-07-17 01:08:21,895 |main                 |ComponentContainer            |I| Loading component : [widget]
2015-07-17 01:08:21,918 |main                 |ComponentContainer            |I| Loading component : [testtools]
2015-07-17 01:08:21,940 |main                 |ComponentContainer            |I| Loading component : [webtools]
2015-07-17 01:08:21,961 |main                 |ComponentContainer            |I| Loading component : [images]
2015-07-17 01:08:21,961 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/gildas/Outils/Elpi/themes]
2015-07-17 01:08:21,982 |main                 |ComponentContainer            |I| Loading component : [easyofbiztheme]
2015-07-17 01:08:22,002 |main                 |ComponentContainer            |I| Loading component : [flatgrey]
