2015-07-16 21:24:36,188 |main                 |GenericDelegator              |W| [FieldNameRW] Column name NAME of entity Interface is a reserved word.
2015-07-16 21:24:36,188 |main                 |GenericDelegator              |W| [FieldNameRW] Column name MODE of entity InterfaceLog is a reserved word.
2015-07-16 21:24:36,188 |main                 |GenericDelegator              |W| [IndexNameGT18] The index name PROD_FEATURE_CAT_DESC (length:21) was greater than 18 characters in length for entity ProductFeatureCategory.
2015-07-16 21:24:36,188 |main                 |GenericDelegator              |W| [FieldNameGT30] Column name [PRODUCT_OFFER_ADJUSTMENT_TYPE_ID] of entity ProductOfferAdjustment is longer than 30 characters.
2015-07-16 21:24:36,188 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named PROD_PRODOFFER_PRODOFFER (length:24) was greater than 18 characters in length for relation ProductOffer of entity ProductProductOffer.
2015-07-16 21:24:36,188 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named PROD_PRODOFFER_PRODUCT (length:22) was greater than 18 characters in length for relation Product of entity ProductProductOffer.
2015-07-16 21:24:36,200 |OFBiz-config-0       |GenericDelegator              |I| Delegator "default" initializing helper "localpostolap" for entity group "org.ofbiz.olap".
2015-07-16 21:24:36,205 |OFBiz-config-1       |GenericDelegator              |I| Delegator "default" initializing helper "localposttenant" for entity group "org.ofbiz.tenant".
2015-07-16 21:24:36,210 |OFBiz-config-2       |GenericDelegator              |I| Delegator "default" initializing helper "localpostnew" for entity group "org.ofbiz".
2015-07-16 21:24:36,218 |OFBiz-config-2       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2015-07-16 21:24:36,219 |OFBiz-config-1       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2015-07-16 21:24:36,221 |OFBiz-config-0       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2015-07-16 21:24:36,617 |OFBiz-config-1       |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2015-07-16 21:24:36,617 |OFBiz-config-2       |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2015-07-16 21:24:36,617 |OFBiz-config-0       |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2015-07-16 21:24:36,617 |OFBiz-config-2       |DatabaseUtil                  |I| Database Product Version is 9.3.9
2015-07-16 21:24:36,617 |OFBiz-config-1       |DatabaseUtil                  |I| Database Product Version is 9.3.9
2015-07-16 21:24:36,617 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver Name is PostgreSQL Native Driver
2015-07-16 21:24:36,617 |OFBiz-config-1       |DatabaseUtil                  |I| Database Driver Name is PostgreSQL Native Driver
2015-07-16 21:24:36,617 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver Version is PostgreSQL 9.0 JDBC4 (build 801)
2015-07-16 21:24:36,617 |OFBiz-config-1       |DatabaseUtil                  |I| Database Driver Version is PostgreSQL 9.0 JDBC4 (build 801)
