2015-08-05 00:36:30,299 |OFBiz-config-1       |DatabaseUtil                  |I| - concurrent connections    [8192]
2015-08-05 00:36:30,299 |OFBiz-config-1       |DatabaseUtil                  |I| - concurrent statements     [0]
2015-08-05 00:36:30,299 |OFBiz-config-1       |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2015-08-05 00:36:30,299 |OFBiz-config-1       |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2015-08-05 00:36:30,300 |OFBiz-config-1       |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2015-08-05 00:36:30,300 |OFBiz-config-1       |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2015-08-05 00:36:30,300 |OFBiz-config-1       |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2015-08-05 00:36:30,300 |OFBiz-config-1       |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2015-08-05 00:36:30,300 |OFBiz-config-1       |DatabaseUtil                  |I| - outer joins               [true]*
2015-08-05 00:36:30,300 |OFBiz-config-1       |DatabaseUtil                  |I| - limited outer joins       [true]
2015-08-05 00:36:30,301 |OFBiz-config-1       |DatabaseUtil                  |I| - full outer joins          [true]
2015-08-05 00:36:30,301 |OFBiz-config-1       |DatabaseUtil                  |I| - group by                  [true]*
2015-08-05 00:36:30,301 |OFBiz-config-1       |DatabaseUtil                  |I| - group by not in select    [true]
2015-08-05 00:36:30,301 |OFBiz-config-1       |DatabaseUtil                  |I| - column aliasing           [true]
2015-08-05 00:36:30,301 |OFBiz-config-1       |DatabaseUtil                  |I| - order by not in select    [true]
2015-08-05 00:36:30,301 |OFBiz-config-1       |DatabaseUtil                  |I| - alter table add column    [true]*
2015-08-05 00:36:30,301 |OFBiz-config-1       |DatabaseUtil                  |I| - non-nullable column       [true]*
2015-08-05 00:36:30,302 |OFBiz-config-1       |DatabaseUtil                  |I| - default fetchsize        [0]
2015-08-05 00:36:30,302 |OFBiz-config-1       |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2015-08-05 00:36:30,303 |OFBiz-config-1       |DatabaseUtil                  |I| Getting Table Info From Database
2015-08-05 00:36:30,356 |OFBiz-config-0       |DatabaseUtil                  |I| - max table name length     [63]
2015-08-05 00:36:30,356 |OFBiz-config-0       |DatabaseUtil                  |I| - max column name length    [63]
2015-08-05 00:36:30,357 |OFBiz-config-0       |DatabaseUtil                  |I| - concurrent connections    [8192]
2015-08-05 00:36:30,357 |OFBiz-config-0       |DatabaseUtil                  |I| - concurrent statements     [0]
2015-08-05 00:36:30,357 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2015-08-05 00:36:30,357 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2015-08-05 00:36:30,358 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2015-08-05 00:36:30,358 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2015-08-05 00:36:30,358 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2015-08-05 00:36:30,359 |OFBiz-config-1       |DatabaseUtil                  |I| Getting Column Info From Database
2015-08-05 00:36:30,359 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2015-08-05 00:36:30,359 |OFBiz-config-0       |DatabaseUtil                  |I| - outer joins               [true]*
2015-08-05 00:36:30,359 |OFBiz-config-0       |DatabaseUtil                  |I| - limited outer joins       [true]
2015-08-05 00:36:30,360 |OFBiz-config-0       |DatabaseUtil                  |I| - full outer joins          [true]
2015-08-05 00:36:30,360 |OFBiz-config-0       |DatabaseUtil                  |I| - group by                  [true]*
2015-08-05 00:36:30,360 |OFBiz-config-0       |DatabaseUtil                  |I| - group by not in select    [true]
2015-08-05 00:36:30,360 |OFBiz-config-0       |DatabaseUtil                  |I| - column aliasing           [true]
2015-08-05 00:36:30,360 |OFBiz-config-0       |DatabaseUtil                  |I| - order by not in select    [true]
2015-08-05 00:36:30,361 |OFBiz-config-0       |DatabaseUtil                  |I| - alter table add column    [true]*
2015-08-05 00:36:30,361 |OFBiz-config-0       |DatabaseUtil                  |I| - non-nullable column       [true]*
2015-08-05 00:36:30,361 |OFBiz-config-0       |DatabaseUtil                  |I| - default fetchsize        [0]
2015-08-05 00:36:30,361 |OFBiz-config-0       |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2015-08-05 00:36:30,361 |OFBiz-config-0       |DatabaseUtil                  |I| Getting Table Info From Database
2015-08-05 00:36:30,419 |OFBiz-config-0       |DatabaseUtil                  |I| Getting Column Info From Database
2015-08-05 00:36:30,530 |OFBiz-config-0       |DatabaseUtil                  |I| Reviewed 8 primary key fields from database.
2015-08-05 00:36:30,543 |OFBiz-config-1       |DatabaseUtil                  |I| Reviewed 6 primary key fields from database.
2015-08-05 00:36:30,574 |OFBiz-config-2       |DatabaseUtil                  |I| - max table name length     [63]
2015-08-05 00:36:30,574 |OFBiz-config-2       |DatabaseUtil                  |I| - max column name length    [63]
2015-08-05 00:36:30,575 |OFBiz-config-2       |DatabaseUtil                  |I| - concurrent connections    [8192]
2015-08-05 00:36:30,575 |OFBiz-config-2       |DatabaseUtil                  |I| - concurrent statements     [0]
2015-08-05 00:36:30,575 |OFBiz-config-2       |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2015-08-05 00:36:30,575 |OFBiz-config-2       |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2015-08-05 00:36:30,575 |OFBiz-config-2       |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2015-08-05 00:36:30,575 |OFBiz-config-2       |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2015-08-05 00:36:30,576 |OFBiz-config-2       |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2015-08-05 00:36:30,576 |OFBiz-config-2       |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2015-08-05 00:36:30,576 |OFBiz-config-2       |DatabaseUtil                  |I| - outer joins               [true]*
2015-08-05 00:36:30,576 |OFBiz-config-2       |DatabaseUtil                  |I| - limited outer joins       [true]
2015-08-05 00:36:30,576 |OFBiz-config-2       |DatabaseUtil                  |I| - full outer joins          [true]
2015-08-05 00:36:30,576 |OFBiz-config-2       |DatabaseUtil                  |I| - group by                  [true]*
2015-08-05 00:36:30,577 |OFBiz-config-2       |DatabaseUtil                  |I| - group by not in select    [true]
2015-08-05 00:36:30,577 |OFBiz-config-2       |DatabaseUtil                  |I| - column aliasing           [true]
