2015-07-17 00:00:44,445 |0.0.0.0-8443-exec-20 |ControlServlet                |T| [[[entitymaint(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2015-07-17 00:00:44,454 |0.0.0.0-8443-exec-20 |ConfigXMLReader               |I| controller loaded: 0.003s, 112 requests, 70 views in jndi:/0.0.0.0/webtools/WEB-INF/controller.xml
2015-07-17 00:00:44,461 |0.0.0.0-8443-exec-20 |ConfigXMLReader               |I| controller loaded: 0.001s, 39 requests, 19 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/common-controller.xml
2015-07-17 00:00:44,466 |0.0.0.0-8443-exec-20 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/handlers-controller.xml
2015-07-17 00:00:44,471 |0.0.0.0-8443-exec-20 |ConfigXMLReader               |I| controller loaded: 0.0s, 26 requests, 10 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/portal-controller.xml
2015-07-17 00:00:44,475 |0.0.0.0-8443-exec-20 |ConfigXMLReader               |I| controller loaded: 0.001s, 30 requests, 13 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/security-controller.xml
2015-07-17 00:00:44,479 |0.0.0.0-8443-exec-20 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 0 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2015-07-17 00:00:44,488 |0.0.0.0-8443-exec-20 |RequestHandler                |I| Rendering View [entitymaint], sessionId=EB42CA54DEBCBABE64082DA39DC8E22B.jvm1
2015-07-17 00:00:44,572 |0.0.0.0-8443-exec-20 |ScreenFactory                 |I| Got 18 screens in 0.005s from: file:/home/gildas/Outils/Elpi/framework/webtools/widget/EntityScreens.xml
2015-07-17 00:00:44,628 |0.0.0.0-8443-exec-20 |ScreenFactory                 |I| Got 11 screens in 0.003s from: file:/home/gildas/Outils/Elpi/framework/webtools/widget/CommonScreens.xml
2015-07-17 00:00:44,634 |0.0.0.0-8443-exec-20 |ScreenFactory                 |I| Got 27 screens in 0.005s from: file:/home/gildas/Outils/Elpi/framework/common/widget/CommonScreens.xml
2015-07-17 00:00:44,646 |0.0.0.0-8443-exec-20 |ServiceDispatcher             |T| Sync service [webtools/getVisualThemeResources] finished in [10] milliseconds
2015-07-17 00:00:44,714 |0.0.0.0-8443-exec-20 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2015-07-17 00:00:44,729 |0.0.0.0-8443-exec-20 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [14] milliseconds
2015-07-17 00:00:44,805 |0.0.0.0-8443-exec-20 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2015-07-17 00:00:44,812 |0.0.0.0-8443-exec-20 |ControlServlet                |T| [[[entitymaint(Domain:https://localhost)] Request Done- total:0.367,since last([entitymaint(Doma...):0.367]]
2015-07-17 00:00:47,063 |0.0.0.0-8443-exec-18 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/FindGeneric
2015-07-17 00:00:47,063 |0.0.0.0-8443-exec-18 |ControlServlet                |T| [[[FindGeneric(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2015-07-17 00:00:47,072 |0.0.0.0-8443-exec-18 |RequestHandler                |I| Rendering View [FindGeneric], sessionId=EB42CA54DEBCBABE64082DA39DC8E22B.jvm1
2015-07-17 00:00:47,130 |0.0.0.0-8443-exec-18 |ServiceDispatcher             |T| Sync service [webtools/getVisualThemeResources] finished in [1] milliseconds
2015-07-17 00:00:47,163 |0.0.0.0-8443-exec-18 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2015-07-17 00:00:47,165 |0.0.0.0-8443-exec-18 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2015-07-17 00:00:47,227 |0.0.0.0-8443-exec-18 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2015-07-17 00:00:47,243 |0.0.0.0-8443-exec-18 |ControlServlet                |T| [[[FindGeneric(Domain:https://localhost)] Request Done- total:0.179,since last([FindGeneric(Doma...):0.18]]
2015-07-17 00:01:52,297 |0.0.0.0-8443-exec-12 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/entitymaint
2015-07-17 00:01:52,298 |0.0.0.0-8443-exec-12 |ControlServlet                |T| [[[entitymaint(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2015-07-17 00:01:52,311 |0.0.0.0-8443-exec-12 |ConfigXMLReader               |I| controller loaded: 0.003s, 112 requests, 70 views in jndi:/0.0.0.0/webtools/WEB-INF/controller.xml
2015-07-17 00:01:52,318 |0.0.0.0-8443-exec-12 |ConfigXMLReader               |I| controller loaded: 0.0s, 39 requests, 19 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/common-controller.xml
2015-07-17 00:01:52,322 |0.0.0.0-8443-exec-12 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/handlers-controller.xml
2015-07-17 00:01:52,327 |0.0.0.0-8443-exec-12 |ConfigXMLReader               |I| controller loaded: 0.001s, 26 requests, 10 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/portal-controller.xml
2015-07-17 00:01:52,332 |0.0.0.0-8443-exec-12 |ConfigXMLReader               |I| controller loaded: 0.0s, 30 requests, 13 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/security-controller.xml
2015-07-17 00:01:52,335 |0.0.0.0-8443-exec-12 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 0 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2015-07-17 00:01:52,346 |0.0.0.0-8443-exec-12 |RequestHandler                |I| Rendering View [entitymaint], sessionId=EB42CA54DEBCBABE64082DA39DC8E22B.jvm1
2015-07-17 00:01:52,427 |0.0.0.0-8443-exec-12 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [1] milliseconds
2015-07-17 00:01:52,432 |0.0.0.0-8443-exec-12 |ScreenFactory                 |I| Got 18 screens in 0.005s from: file:/home/gildas/Outils/Elpi/framework/webtools/widget/EntityScreens.xml
2015-07-17 00:01:52,491 |0.0.0.0-8443-exec-12 |ScreenFactory                 |I| Got 11 screens in 0.004s from: file:/home/gildas/Outils/Elpi/framework/webtools/widget/CommonScreens.xml
2015-07-17 00:01:52,497 |0.0.0.0-8443-exec-12 |ScreenFactory                 |I| Got 27 screens in 0.005s from: file:/home/gildas/Outils/Elpi/framework/common/widget/CommonScreens.xml
2015-07-17 00:01:52,509 |0.0.0.0-8443-exec-12 |ServiceDispatcher             |T| Sync service [webtools/getVisualThemeResources] finished in [10] milliseconds
2015-07-17 00:01:52,596 |0.0.0.0-8443-exec-12 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2015-07-17 00:01:52,612 |0.0.0.0-8443-exec-12 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [16] milliseconds
2015-07-17 00:01:52,650 |0.0.0.0-8443-exec-12 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2015-07-17 00:01:52,666 |0.0.0.0-8443-exec-12 |ControlServlet                |T| [[[entitymaint(Domain:https://localhost)] Request Done- total:0.367,since last([entitymaint(Doma...):0.367]]
2015-07-17 00:01:55,573 |0.0.0.0-8443-exec-26 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/FindGeneric
2015-07-17 00:01:55,574 |0.0.0.0-8443-exec-26 |ControlServlet                |T| [[[FindGeneric(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2015-07-17 00:01:55,585 |0.0.0.0-8443-exec-26 |RequestHandler                |I| Rendering View [FindGeneric], sessionId=EB42CA54DEBCBABE64082DA39DC8E22B.jvm1
2015-07-17 00:01:55,588 |0.0.0.0-8443-exec-26 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [1] milliseconds
2015-07-17 00:01:55,665 |0.0.0.0-8443-exec-26 |ServiceDispatcher             |T| Sync service [webtools/getVisualThemeResources] finished in [2] milliseconds
2015-07-17 00:01:55,698 |0.0.0.0-8443-exec-26 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2015-07-17 00:01:55,702 |0.0.0.0-8443-exec-26 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [3] milliseconds
2015-07-17 00:01:55,757 |0.0.0.0-8443-exec-26 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2015-07-17 00:01:55,762 |0.0.0.0-8443-exec-26 |ControlServlet                |T| [[[FindGeneric(Domain:https://localhost)] Request Done- total:0.188,since last([FindGeneric(Doma...):0.188]]
2015-07-17 00:02:55,682 |0.0.0.0-8443-exec-21 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/entitymaint
2015-07-17 00:02:55,683 |0.0.0.0-8443-exec-21 |ControlServlet                |T| [[[entitymaint(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2015-07-17 00:02:55,697 |0.0.0.0-8443-exec-21 |ConfigXMLReader               |I| controller loaded: 0.003s, 112 requests, 70 views in jndi:/0.0.0.0/webtools/WEB-INF/controller.xml
2015-07-17 00:02:55,705 |0.0.0.0-8443-exec-21 |ConfigXMLReader               |I| controller loaded: 0.001s, 39 requests, 19 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/common-controller.xml
2015-07-17 00:02:55,710 |0.0.0.0-8443-exec-21 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/handlers-controller.xml
2015-07-17 00:02:55,716 |0.0.0.0-8443-exec-21 |ConfigXMLReader               |I| controller loaded: 0.001s, 26 requests, 10 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/portal-controller.xml
2015-07-17 00:02:55,720 |0.0.0.0-8443-exec-21 |ConfigXMLReader               |I| controller loaded: 0.0s, 30 requests, 13 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/security-controller.xml
2015-07-17 00:02:55,723 |0.0.0.0-8443-exec-21 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 0 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2015-07-17 00:02:55,732 |0.0.0.0-8443-exec-21 |RequestHandler                |I| Rendering View [entitymaint], sessionId=EB42CA54DEBCBABE64082DA39DC8E22B.jvm1
2015-07-17 00:02:55,816 |0.0.0.0-8443-exec-21 |ScreenFactory                 |I| Got 18 screens in 0.005s from: file:/home/gildas/Outils/Elpi/framework/webtools/widget/EntityScreens.xml
2015-07-17 00:02:55,871 |0.0.0.0-8443-exec-21 |ScreenFactory                 |I| Got 11 screens in 0.005s from: file:/home/gildas/Outils/Elpi/framework/webtools/widget/CommonScreens.xml
2015-07-17 00:02:55,877 |0.0.0.0-8443-exec-21 |ScreenFactory                 |I| Got 27 screens in 0.006s from: file:/home/gildas/Outils/Elpi/framework/common/widget/CommonScreens.xml
2015-07-17 00:02:55,889 |0.0.0.0-8443-exec-21 |ServiceDispatcher             |T| Sync service [webtools/getVisualThemeResources] finished in [11] milliseconds
2015-07-17 00:02:55,959 |0.0.0.0-8443-exec-21 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2015-07-17 00:02:55,970 |0.0.0.0-8443-exec-21 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [11] milliseconds
2015-07-17 00:02:56,012 |0.0.0.0-8443-exec-21 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2015-07-17 00:02:56,023 |0.0.0.0-8443-exec-21 |ControlServlet                |T| [[[entitymaint(Domain:https://localhost)] Request Done- total:0.34,since last([entitymaint(Doma...):0.34]]
2015-07-17 00:03:00,182 |0.0.0.0-8443-exec-27 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/FindGeneric
2015-07-17 00:03:00,183 |0.0.0.0-8443-exec-27 |ControlServlet                |T| [[[FindGeneric(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2015-07-17 00:03:00,193 |0.0.0.0-8443-exec-27 |RequestHandler                |I| Rendering View [FindGeneric], sessionId=EB42CA54DEBCBABE64082DA39DC8E22B.jvm1
2015-07-17 00:03:00,277 |0.0.0.0-8443-exec-27 |ServiceDispatcher             |T| Sync service [webtools/getVisualThemeResources] finished in [1] milliseconds
2015-07-17 00:03:00,329 |0.0.0.0-8443-exec-27 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2015-07-17 00:03:00,333 |0.0.0.0-8443-exec-27 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [4] milliseconds
2015-07-17 00:03:00,393 |0.0.0.0-8443-exec-27 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2015-07-17 00:03:00,410 |0.0.0.0-8443-exec-27 |ControlServlet                |T| [[[FindGeneric(Domain:https://localhost)] Request Done- total:0.227,since last([FindGeneric(Doma...):0.227]]
2015-07-17 00:03:25,566 |0.0.0.0-8443-exec-28 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/scheduleServiceSync
2015-07-17 00:03:25,566 |0.0.0.0-8443-exec-28 |ControlServlet                |T| [[[scheduleServiceSync(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2015-07-17 00:03:25,574 |0.0.0.0-8443-exec-28 |ConfigXMLReader               |I| controller loaded: 0.002s, 112 requests, 70 views in jndi:/0.0.0.0/webtools/WEB-INF/controller.xml
2015-07-17 00:03:25,579 |0.0.0.0-8443-exec-28 |ConfigXMLReader               |I| controller loaded: 0.0s, 39 requests, 19 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/common-controller.xml
2015-07-17 00:03:25,583 |0.0.0.0-8443-exec-28 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/handlers-controller.xml
2015-07-17 00:03:25,587 |0.0.0.0-8443-exec-28 |ConfigXMLReader               |I| controller loaded: 0.001s, 26 requests, 10 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/portal-controller.xml
2015-07-17 00:03:25,591 |0.0.0.0-8443-exec-28 |ConfigXMLReader               |I| controller loaded: 0.0s, 30 requests, 13 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/security-controller.xml
2015-07-17 00:03:25,594 |0.0.0.0-8443-exec-28 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 0 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2015-07-17 00:03:25,605 |0.0.0.0-8443-exec-28 |SequenceUtil                  |W| Lock failed; no sequence row was found, will try to add a new one for sequence: UserElpi
2015-07-17 00:03:25,617 |0.0.0.0-8443-exec-28 |SequenceUtil                  |I| Got bank of sequenced IDs for [UserElpi]; curSeqId=10000, maxSeqId=10010, bankSize=10
2015-07-17 00:03:25,625 |0.0.0.0-8443-exec-28 |ServiceDispatcher             |T| Sync service [webtools/createElpiUser] finished in [20] milliseconds
2015-07-17 00:03:25,625 |0.0.0.0-8443-exec-28 |RequestHandler                |I| Ran Event [java:org.ofbiz.webapp.event.CoreEvents#scheduleService] from [request], result is [sync_success]
2015-07-17 00:03:25,626 |0.0.0.0-8443-exec-28 |RequestHandler                |I| Rendering View [serviceResult], sessionId=EB42CA54DEBCBABE64082DA39DC8E22B.jvm1
2015-07-17 00:03:25,701 |0.0.0.0-8443-exec-28 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [1] milliseconds
2015-07-17 00:03:25,705 |0.0.0.0-8443-exec-28 |ScreenFactory                 |I| Got 9 screens in 0.004s from: file:/home/gildas/Outils/Elpi/framework/webtools/widget/ServiceScreens.xml
2015-07-17 00:03:25,724 |0.0.0.0-8443-exec-28 |ScreenFactory                 |I| Got 11 screens in 0.003s from: file:/home/gildas/Outils/Elpi/framework/webtools/widget/CommonScreens.xml
2015-07-17 00:03:25,730 |0.0.0.0-8443-exec-28 |ScreenFactory                 |I| Got 27 screens in 0.005s from: file:/home/gildas/Outils/Elpi/framework/common/widget/CommonScreens.xml
2015-07-17 00:03:25,742 |0.0.0.0-8443-exec-28 |ServiceDispatcher             |T| Sync service [webtools/getVisualThemeResources] finished in [10] milliseconds
