2015-07-19 09:28:37,003 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation Serializable    [true]
2015-07-19 09:28:37,003 |OFBiz-config-1       |DatabaseUtil                  |I| - limited outer joins       [true]
2015-07-19 09:28:37,003 |OFBiz-config-2       |DatabaseUtil                  |I| - forward only type         [true]
2015-07-19 09:28:37,003 |OFBiz-config-1       |DatabaseUtil                  |I| - full outer joins          [true]
2015-07-19 09:28:37,003 |OFBiz-config-2       |DatabaseUtil                  |I| - scroll sensitive type     [false]
2015-07-19 09:28:37,004 |OFBiz-config-1       |DatabaseUtil                  |I| - group by                  [true]*
2015-07-19 09:28:37,004 |OFBiz-config-2       |DatabaseUtil                  |I| - scroll insensitive type   [true]
2015-07-19 09:28:37,004 |OFBiz-config-1       |DatabaseUtil                  |I| - group by not in select    [true]
2015-07-19 09:28:37,004 |OFBiz-config-2       |DatabaseUtil                  |I| - is case sensitive         [false]
2015-07-19 09:28:37,004 |OFBiz-config-1       |DatabaseUtil                  |I| - column aliasing           [true]
2015-07-19 09:28:37,004 |OFBiz-config-2       |DatabaseUtil                  |I| - stores LowerCase          [true]
2015-07-19 09:28:37,004 |OFBiz-config-1       |DatabaseUtil                  |I| - order by not in select    [true]
2015-07-19 09:28:37,004 |OFBiz-config-2       |DatabaseUtil                  |I| - stores MixedCase          [false]
2015-07-19 09:28:37,004 |OFBiz-config-1       |DatabaseUtil                  |I| - alter table add column    [true]*
2015-07-19 09:28:37,004 |OFBiz-config-2       |DatabaseUtil                  |I| - stores UpperCase          [false]
2015-07-19 09:28:37,005 |OFBiz-config-1       |DatabaseUtil                  |I| - non-nullable column       [true]*
2015-07-19 09:28:37,007 |OFBiz-config-0       |DatabaseUtil                  |I| - concurrent connections    [8192]
2015-07-19 09:28:37,008 |OFBiz-config-1       |DatabaseUtil                  |I| - default fetchsize        [0]
2015-07-19 09:28:37,008 |OFBiz-config-1       |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2015-07-19 09:28:37,008 |OFBiz-config-1       |DatabaseUtil                  |I| Getting Table Info From Database
2015-07-19 09:28:37,008 |OFBiz-config-0       |DatabaseUtil                  |I| - concurrent statements     [0]
2015-07-19 09:28:37,009 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2015-07-19 09:28:37,009 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2015-07-19 09:28:37,009 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2015-07-19 09:28:37,010 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2015-07-19 09:28:37,010 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2015-07-19 09:28:37,011 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2015-07-19 09:28:37,011 |OFBiz-config-0       |DatabaseUtil                  |I| - outer joins               [true]*
2015-07-19 09:28:37,011 |OFBiz-config-0       |DatabaseUtil                  |I| - limited outer joins       [true]
2015-07-19 09:28:37,012 |OFBiz-config-0       |DatabaseUtil                  |I| - full outer joins          [true]
2015-07-19 09:28:37,012 |OFBiz-config-0       |DatabaseUtil                  |I| - group by                  [true]*
2015-07-19 09:28:37,013 |OFBiz-config-0       |DatabaseUtil                  |I| - group by not in select    [true]
2015-07-19 09:28:37,013 |OFBiz-config-0       |DatabaseUtil                  |I| - column aliasing           [true]
2015-07-19 09:28:37,014 |OFBiz-config-0       |DatabaseUtil                  |I| - order by not in select    [true]
2015-07-19 09:28:37,014 |OFBiz-config-0       |DatabaseUtil                  |I| - alter table add column    [true]*
2015-07-19 09:28:37,014 |OFBiz-config-0       |DatabaseUtil                  |I| - non-nullable column       [true]*
2015-07-19 09:28:37,015 |OFBiz-config-0       |DatabaseUtil                  |I| - default fetchsize        [0]
2015-07-19 09:28:37,015 |OFBiz-config-0       |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2015-07-19 09:28:37,015 |OFBiz-config-2       |DatabaseUtil                  |I| - max table name length     [63]
2015-07-19 09:28:37,015 |OFBiz-config-0       |DatabaseUtil                  |I| Getting Table Info From Database
2015-07-19 09:28:37,016 |OFBiz-config-2       |DatabaseUtil                  |I| - max column name length    [63]
2015-07-19 09:28:37,016 |OFBiz-config-2       |DatabaseUtil                  |I| - concurrent connections    [8192]
2015-07-19 09:28:37,016 |OFBiz-config-2       |DatabaseUtil                  |I| - concurrent statements     [0]
2015-07-19 09:28:37,017 |OFBiz-config-2       |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2015-07-19 09:28:37,017 |OFBiz-config-2       |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2015-07-19 09:28:37,017 |OFBiz-config-2       |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2015-07-19 09:28:37,017 |OFBiz-config-2       |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2015-07-19 09:28:37,018 |OFBiz-config-2       |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2015-07-19 09:28:37,018 |OFBiz-config-2       |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2015-07-19 09:28:37,018 |OFBiz-config-2       |DatabaseUtil                  |I| - outer joins               [true]*
2015-07-19 09:28:37,018 |OFBiz-config-2       |DatabaseUtil                  |I| - limited outer joins       [true]
2015-07-19 09:28:37,018 |OFBiz-config-2       |DatabaseUtil                  |I| - full outer joins          [true]
2015-07-19 09:28:37,019 |OFBiz-config-2       |DatabaseUtil                  |I| - group by                  [true]*
2015-07-19 09:28:37,019 |OFBiz-config-2       |DatabaseUtil                  |I| - group by not in select    [true]
2015-07-19 09:28:37,019 |OFBiz-config-2       |DatabaseUtil                  |I| - column aliasing           [true]
2015-07-19 09:28:37,019 |OFBiz-config-2       |DatabaseUtil                  |I| - order by not in select    [true]
2015-07-19 09:28:37,020 |OFBiz-config-2       |DatabaseUtil                  |I| - alter table add column    [true]*
2015-07-19 09:28:37,020 |OFBiz-config-2       |DatabaseUtil                  |I| - non-nullable column       [true]*
